name,slug,norm_key,agency_name,aav_aa
Daniel Carlson,daniel-carlson,daniel carlson,The Familie,3680000
Josh Simmons,josh-simmons,josh simmons,Rosenhaus Sports Representation,3668839
Jason Sanders,jason-sanders,jason sanders,Gil Scott Sports Management,3666667
Brian Thomas Jr.,brian-thomas-jr,brian thomas,Ace PR,3664995
Morgan Fox,morgan-fox,morgan fox,Aura Sports Group,3625000
Ashton Dulin,ashton-dulin,ashton dulin,Plan B Sports Management LLC,3600000
Treylon Burks,treylon-burks,treylon burks,Kutak Rock LLP,3592398
A.j. Terrell,aj-terrell,aj terrell,Ace PR,3576437
Jahmyr Gibbs,jahmyr-gibbs,jahmyr gibbs,Everett Sports Marketing (ESM),3569026
Kenny Pickett,kenny-pickett,kenny pickett,WIN Sports Group,3516976
Jack Fox,jack-fox,jack fox,Ace PR,3516250
Robert Spillane,robert-spillane,robert spillane,BTI Sports,3500000
Alexander Mattison,alexander-mattison,alexander mattison,The Team,3500000
A.j. Green,aj-green,aj green,The Team,3500000
Braxton Berrios,braxton-berrios,braxton berrios,Rosenhaus Sports Representation,3500000
Cody Barton,cody-barton,cody barton,Aura Sports Group,3500000
Drew Sample,drew-sample,drew sample,Shark Sports Management,3500000
Kalif Raymond,kalif-raymond,kalif raymond,EnterSports Management,3500000
Roy Lopez,roy-lopez,roy lopez,United Athlete Sports,3500000
Mike Hughes,mike-hughes,mike hughes,Be The Best Sports Group,3500000
Malcolm Roach,malcolm-roach,malcolm roach,AthElite Agency,3500000
Jameson Williams,jameson-williams,jameson williams,Alliance Sports,3492358
Jadeveon Clowney,jadeveon-clowney,jadeveon clowney,MS World LLC,3450000
Xavier Worthy,xavier-worthy,xavier worthy,Rubicon Talent,3447566
Donovan Jackson,donovan-jackson,donovan jackson,Ace PR,3435411
Cade Mays,cade-mays,cade mays,Octagon,3406000
Cole Van Lanen,cole-van-lanen,cole van lanen,CAA,3406000
Jordan Davis,jordan-davis,jordan davis,WIN Sports Group,3401856
Andrew Beck,andrew-beck,andrew beck,Young Money APAA Sports,3375000
J.t. Gray,jt-gray,jt gray,Innovation Sports Management,3366667
Dalton Kincaid,dalton-kincaid,dalton kincaid,Excel Sports Management,3356756
Dennis Gardeck,dennis-gardeck,dennis gardeck,AMDG Sports,3333333
Dexter Lawrence,dexter-lawrence,dexter lawrence,WIN Sports Group,3312010
Tyler Linderbaum,tyler-linderbaum,tyler linderbaum,"NC Sports, LLC",3309572
Ar'Darius Washington,ardarius-washington,ardarius washington,Klutch Sports Group,3263000
Bradley Bozeman,bradley-bozeman,bradley bozeman,CAA,3250000
Miles Killebrew,miles-killebrew,miles killebrew,Dream Point Sports,3250000
Devin Bush,devin-bush,devin bush,Rosenhaus Sports Representation,3250000
Greg Van Roten,greg-van-roten,greg van roten,BAC Sports Management,3250000
Cornelius Lucas,cornelius-lucas,cornelius lucas,Equity Sports,3250000
Emmanuel Ogbah,emmanuel-ogbah,emmanuel ogbah,Rosenhaus Sports Representation,3250000
Bryan Anger,bryan-anger,bryan anger,Sun West Sports,3200000
Alijah Vera-Tucker,alijah-vera-tucker,alijah veratucker,CAA,3177006
Julian Blackmon,julian-blackmon,julian blackmon,Alliance Sports,3170000
George Odum,george-odum,george odum,Generation Sports Group,3166667
Blake Brandel,blake-brandel,blake brandel,Sports Management Worldwide,3166667
A.j. Cole,aj-cole,aj cole,The Familie,3160000
Dallas Turner,dallas-turner,dallas turner,Athletes First,3153373
Myles Murphy,myles-murphy,myles murphy,WIN Sports Group,3146816
Mac Jones,mac-jones,mac jones,Everett Sports Marketing (ESM),3117270
Daniel Whelan,daniel-whelan,daniel whelan,Red Envelope Sports,3100000
Emmanuel Forbes,emmanuel-forbes,emmanuel forbes,Ace PR,3081513
Elandon Roberts,elandon-roberts,elandon roberts,Rosenhaus Sports Representation,3010000
Jimmy Garoppolo,jimmy-garoppolo,jimmy garoppolo,Yee & Dubin,3005000
Mike Edwards,mike-edwards,mike edwards,84 World,3000000
Solomon Thomas,solomon-thomas,solomon thomas,EAG Sports Management,3000000
Bud Dupree,bud-dupree,bud dupree,Athletes First,3000000
Austin Corbett,austin-corbett,austin corbett,Excel Sports Management,3000000
Eric Kendricks,eric-kendricks,eric kendricks,Excel Sports Management,3000000
Damontae Kazee,damontae-kazee,damontae kazee,SportStars,3000000
Riley Dixon,riley-dixon,riley dixon,LIFT Sports Management,3000000
L.j. Collier,lj-collier,lj collier,Team Sports Agency,3000000
Brandin Echols,brandin-echols,brandin echols,The Sports & Entertainment Group,3000000
Josh Reynolds,josh-reynolds,josh reynolds,Apex Sports Group,3000000
M.j. Stewart,mj-stewart,mj stewart,Neil S Schwartz Associates Inc,3000000
Justice Hill,justice-hill,justice hill,Ace PR,3000000
Tyler Conklin,tyler-conklin,tyler conklin,VaynerSports,3000000
Foley Fatukasi,foley-fatukasi,foley fatukasi,LIFT Sports Management,3000000
Isaac Yiadom,isaac-yiadom,isaac yiadom,VaynerSports,3000000
Azeez Ojulari,azeez-ojulari,azeez ojulari,Roc Nation,3000000
Tim Settle,tim-settle,tim settle,Upper Edge Management,3000000
Cordarrelle Patterson,cordarrelle-patterson,cordarrelle patterson,Athletes First,3000000
David Edwards,david-edwards,david edwards,CAA,3000000
Cairo Santos,cairo-santos,cairo santos,ProStar Sports Agency,3000000
K'Lavon Chaisson,klavon-chaisson,klavon chaisson,Athlete Relations,3000000
Jamie Gillan,jamie-gillan,jamie gillan,International Sports Agency,3000000
Cody Ford,cody-ford,cody ford,1 of 1 Agency,3000000
Nolan Smith,nolan-smith,nolan smith,BT8 Management,2998102
Chop Robinson,chop-robinson,chop robinson,CAA,2995246
Carson Schwesinger,carson-schwesinger,carson schwesinger,The Team,2950100
Jayden Higgins,jayden-higgins,jayden higgins,Equity Sports,2925206
Calijah Kancey,calijah-kancey,calijah kancey,QC Sports,2898695
Jaxon Smith-Njigba,jaxon-smith-njigba,jaxon smithnjigba,WME,2883461
Bradley Pinion,bradley-pinion,bradley pinion,Range Media Partners,2883333
Nick Folk,nick-folk,nick folk,PSE Management Team,2875000
Tress Way,tress-way,tress way,KMM Sports,2872500
Patrick Ricard,patrick-ricard,patrick ricard,Exclusive Sports Group,2872500
Chris Board,chris-board,chris board,Range Media Partners,2850000
A.j. Woods,aj-woods,aj woods,Exclusive Sports Group,2845000
Quentin Johnston,quentin-johnston,quentin johnston,Sixteenth,2837756
Jonah Savaiinaea,jonah-savaiinaea,jonah savaiinaea,Ace PR,2830619
Jaelan Phillips,jaelan-phillips,jaelan phillips,WIN Sports Group,2803640
Raheem Mostert,raheem-mostert,raheem mostert,Equity Sports,2800000
Daniel Ekuale,daniel-ekuale,daniel ekuale,IFA (The Institute for Athletes),2800000
Treveyon Henderson,treveyon-henderson,treveyon henderson,Plan B Sports Management LLC,2785809
Darius Robinson,darius-robinson,darius robinson,Equity Sports,2773866
Johnny Mundt,johnny-mundt,johnny mundt,United Athlete Sports,2750000
Jordan Addison,jordan-addison,jordan addison,Younger & Associates,2746348
Luther Burden Iii,luther-burden-iii,luther burden,WIN Sports Group,2741008
Kaiir Elam,kaiir-elam,kaiir elam,The Elam Model,2738162
Deonte Banks,deonte-banks,deonte banks,WIN Sports Group,2715879
Tyler Shough,tyler-shough,tyler shough,Global Sports Management Group,2701180
Mitchell Agude,mitchell-agude,mitchell agude,Rosenhaus Sports Representation,2700000
T.j. Sanders,tj-sanders,tj sanders,Rosenhaus Sports Representation,2680102
Christian Darrisaw,christian-darrisaw,christian darrisaw,Rosenhaus Sports Representation,2669228
Denzel Perryman,denzel-perryman,denzel perryman,Agency 1 Athlete Management Group,2655000
Robert Tonyan,robert-tonyan,robert tonyan,JB Sports,2650000
Anton Harrison,anton-harrison,anton harrison,Athletes First,2639704
Carl Granderson,carl-granderson,carl granderson,CAA,2632500
Jeremy Reaves,jeremy-reaves,jeremy reaves,1 of 1 Agency,2627000
Mason Taylor,mason-taylor,mason taylor,Milk & Honey Sports,2616547
Marco Wilson,marco-wilson,marco wilson,Rosenhaus Sports Representation,2616000
Noah Brown,noah-brown,noah brown,WIN Sports Group,2600000
Eric Wilson,eric-wilson,eric wilson,Ace PR,2600000
Jake Martin,jake-martin,jake martin,Capital Sports Advisors,2585000
Nick Allegretti,nick-allegretti,nick allegretti,3XL Sports Management,2582500
Travis Etienne,travis-etienne,travis etienne,Ballengee Group,2579621
Alfred Collins,alfred-collins,alfred collins,Klutch Sports Group,2576722
Josh Thompson,josh-thompson,josh thompson,Ace PR,2575000
Devonte Wyatt,devonte-wyatt,devonte wyatt,WIN Sports Group,2572237
D.j. Reader,dj-reader,dj reader,Vanguard Sports Group,2555380
Greg Newsome Ii,greg-newsome-ii,greg newsome,Rosenhaus Sports Representation,2549747
Cesar Ruiz,cesar-ruiz,cesar ruiz,Athletes First,2535841
Johnny Hekker,johnny-hekker,johnny hekker,ProStar Sports Agency,2533333
Ricky Pearsall,ricky-pearsall,ricky pearsall,WIN Sports Group,2507680
Brandon Aiyuk,brandon-aiyuk,brandon aiyuk,Athletes First,2506268
Darnell Savage,darnell-savage,darnell savage,AMG Pro Sports,2503538
Tremon Smith,tremon-smith,tremon smith,Accel Sports,2500000
Elijah Mitchell,elijah-mitchell,elijah mitchell,SportsTrust Advisors,2500000
D.j. Humphries,dj-humphries,dj humphries,AMDG Sports,2500000
Ty Johnson,ty-johnson,ty johnson,Clarity Sports International,2500000
Tanoh Kpassagnon,tanoh-kpassagnon,tanoh kpassagnon,DEC Management,2500000
Christian Rozeboom,christian-rozeboom,christian rozeboom,One West Sports Group,2500000
Rigoberto Sanchez,rigoberto-sanchez,rigoberto sanchez,International Sports Advisors,2500000
Justin Watson,justin-watson,justin watson,JL Sports Agency,2500000
Cooper Rush,cooper-rush,cooper rush,Equity Sports,2500000
Wes Schweitzer,wes-schweitzer,wes schweitzer,Red Envelope Sports,2500000
Dean Lowry,dean-lowry,dean lowry,VaynerSports,2500000
Jamal Agnew,jamal-agnew,jamal agnew,Ace PR,2500000
Josh Blackwell,josh-blackwell,josh blackwell,National Sports Agency,2500000
Ladd Mcconkey,ladd-mcconkey,ladd mcconkey,Everett Sports Marketing (ESM),2498797
Ruke Orhorhoro,ruke-orhorhoro,ruke orhorhoro,WIN Sports Group,2479032
Xavier Legette,xavier-legette,xavier legette,Everett Sports Marketing (ESM),2471435
Bryan Bresee,bryan-bresee,bryan bresee,Athletes First,2452712
Brandon Graham,brandon-graham,brandon graham,WIN Sports Group,2444444
Joey Slye,joey-slye,joey slye,Shark Sports Management,2433000
Ja'Lynn Polk,jalynn-polk,jalynn polk,WIN Sports Group,2423686
Joey Porter Jr.,joey-porter-jr,joey porter,Ace PR,2404586
Jonathan Owens,jonathan-owens,jonathan owens,Prolifiq Sports Group,2375000
Sam Laporta,sam-laporta,sam laporta,JB Sports,2366498
Braden Fiske,braden-fiske,braden fiske,Grady Sports Agency,2352531
Da'Shawn Hand,dashawn-hand,dashawn hand,Athletes First,2350000
Logan Hall,logan-hall,logan hall,Capital Sports Advisors,2329114
Cooper Dejean,cooper-dejean,cooper dejean,Ace PR,2320906
Steve Avila,steve-avila,steve avila,1 of 1 Agency,2313178
Christian Watson,christian-watson,christian watson,The Sports & Entertainment Group,2310258
Aireontae Ersery,aireontae-ersery,aireontae ersery,Klutch Sports Group,2302910
Hjalte Froholdt,hjalte-froholdt,hjalte froholdt,Ace PR,2300000
Lewis Cine,lewis-cine,lewis cine,Roc Nation,2298830
Roger Mccreary,roger-mccreary,roger mccreary,Navigate Sports Management,2291402
Kool-Aid Mckinstry,kool-aid-mckinstry,koolaid mckinstry,VaynerSports,2289277
Derick Hall,derick-hall,derick hall,National Sports Agency,2278895
Kamari Lassiter,kamari-lassiter,kamari lassiter,WIN Sports Group,2253700
Breece Hall,breece-hall,breece hall,Klutch Sports Group,2253694
Demetrius Knight Jr.,demetrius-knight-jr,demetrius knight,Exclusive Sports Group,2253121
Zach Pascal,zach-pascal,zach pascal,Prolifiq Sports Group,2250000
Case Keenum,case-keenum,case keenum,CAA,2250000
Mitch Wishnowsky,mitch-wishnowsky,mitch wishnowsky,OG1 Athletes,2240000
Jalen Pitre,jalen-pitre,jalen pitre,AthElite Agency,2238610
Max Melton,max-melton,max melton,Legend Agency,2222077
Javonte Williams,javonte-williams,javonte williams,Everett Sports Marketing (ESM),2216438
Arnold Ebiketie,arnold-ebiketie,arnold ebiketie,Klutch Sports Group,2204672
Mo Alie-Cox,mo-alie-cox,mo aliecox,BTI Sports,2200000
Nick Martin,nick-martin,nick martin,The Familie,2187223
Isaiah Foskey,isaiah-foskey,isaiah foskey,3 Strand Sports & Entertainment,2183680
Clyde Edwards-Helaire,clyde-edwards-helaire,clyde edwardshelaire,Rubicon Talent,2164314
Edgerrin Cooper,edgerrin-cooper,edgerrin cooper,First Round Management,2149730
Bj Ojulari,bj-ojulari,bj ojulari,Roc Nation,2149402
Kenneth Walker Iii,kenneth-walker-iii,kenneth walker,SportsTrust Advisors,2110395
Jonathon Brooks,jonathon-brooks,jonathon brooks,LIFT Sports Management,2104271
Oluwafemi Oladejo,oluwafemi-oladejo,oluwafemi oladejo,Priority Sports & Entertainment,2103775
Jack Cochrane,jack-cochrane,jack cochrane,Precision Sports Management Group,2100000
Khyiris Tonga,khyiris-tonga,khyiris tonga,Aura Sports Group,2100000
Braden Mann,braden-mann,braden mann,CAA,2100000
Teven Jenkins,teven-jenkins,teven jenkins,WIN Sports Group,2096962
Sean Clifford,sean-clifford,sean clifford,ProStar Sports Agency,2082090
Andrew Booth Jr.,andrew-booth-jr,andrew booth,Ace PR,2076456
Richie Grant,richie-grant,richie grant,Gate City Athletics,2067091
J.k. Dobbins,jk-dobbins,jk dobbins,Loyalty Above All,2065000
Benjamin Morrison,benjamin-morrison,benjamin morrison,Excel Sports Management,2053992
Yetur Gross-Matos,yetur-gross-matos,yetur grossmatos,1 of 1 Agency,2049702
Wan'Dale Robinson,wandale-robinson,wandale robinson,The Sports & Entertainment Group,2046292
Tyler Nubin,tyler-nubin,tyler nubin,VaynerSports,2044180
Tershawn Wharton,tershawn-wharton,tershawn wharton,Exclusive Sports Group,2025000
John Metchie Iii,john-metchie-iii,john metchie,WIN Sports Group,2017543
Dane Jackson,dane-jackson,dane jackson,SportStars,2010000
Brian Branch,brian-branch,brian branch,Klutch Sports Group,2005433
Anthony Belton,anthony-belton,anthony belton,Clarity Sports International,2004206
Austin Johnson,austin-johnson,austin johnson,Athletes First,2000000
Calvin Anderson,calvin-anderson,calvin anderson,Excel Sports Management,2000000
Ezekiel Turner,ezekiel-turner,ezekiel turner,Young Money APAA Sports,2000000
Josh Jobe,josh-jobe,josh jobe,SportsTrust Advisors,2000000
Corey Bojorquez,corey-bojorquez,corey bojorquez,International Sports Advisors,2000000
Joseph Noteboom,joseph-noteboom,joseph noteboom,Apex Sports Group,2000000
Ray-Ray Mccloud,ray-ray-mccloud,rayray mccloud,IFA (The Institute for Athletes),2000000
Siran Neal,siran-neal,siran neal,Legacy Sports Advisors,2000000
Marcedes Lewis,marcedes-lewis,marcedes lewis,BC Sports,2000000
Reggie Gilliam,reggie-gilliam,reggie gilliam,QC Sports,2000000
David Ojabo,david-ojabo,david ojabo,WIN Sports Group,1977280
Josh Paschal,josh-paschal,josh paschal,PFC Sports Group,1933913
Mike Sainristil,mike-sainristil,mike sainristil,Priority Sports & Entertainment,1925584
Josh Uche,josh-uche,josh uche,Rosenhaus Sports Representation,1920000
Tate Ratledge,tate-ratledge,tate ratledge,WIN Sports Group,1914594
Terrace Marshall Jr.,terrace-marshall-jr,terrace marshall,Elite Loyalty Sports,1909829
Quan Martin,quan-martin,quan martin,Clarity Sports International,1909455
Nazeeh Johnson,nazeeh-johnson,nazeeh johnson,3XL Sports Management,1900000
Zach Frazier,zach-frazier,zach frazier,1 of 1 Agency,1886054
Cody Mauch,cody-mauch,cody mauch,Excel Sports Management,1871364
Jackson Carman,jackson-carman,jackson carman,1 of 1 Agency,1862487
D'Angelo Ross,dangelo-ross,dangelo ross,JL Sports Agency,1855000
Mike Green,mike-green,mike green,WIN Sports Group,1854854
Adonai Mitchell,adonai-mitchell,adonai mitchell,WIN Sports Group,1846522
Rj Harvey,rj-harvey,rj harvey,SportsTrust Advisors,1839920
Jaquan Brisker,jaquan-brisker,jaquan brisker,Ace PR,1838885
Naquan Jones,naquan-jones,naquan jones,VaynerSports,1835000
Keeanu Benton,keeanu-benton,keeanu benton,1 of 1 Agency,1833281
Ben Sinnott,ben-sinnott,ben sinnott,Excel Sports Management,1806988
Shemar Turner,shemar-turner,shemar turner,LIFT Sports Management,1805072
Omarr Norman-Lott,omarr-norman-lott,omarr normanlott,GSE Worldwide,1800093
Jaylinn Hawkins,jaylinn-hawkins,jaylinn hawkins,Ace PR,1800000
Easton Stick,easton-stick,easton stick,Excel Sports Management,1800000
Kurt Hinish,kurt-hinish,kurt hinish,BTI Sports,1800000
Dare Ogunbowale,dare-ogunbowale,dare ogunbowale,SportStars,1800000
Luke Gifford,luke-gifford,luke gifford,LIFT Sports Management,1800000
Jayden Reed,jayden-reed,jayden reed,Rosenhaus Sports Representation,1795195
Andrew Mukuba,andrew-mukuba,andrew mukuba,Athletes First,1790136
Chris Mcclellan,chris-mcclellan,chris mcclellan,Klutch Sports Group,1774018
Kevin King,kevin-king,kevin king,A3 Athletics,1770221
Michael Hall Jr.,michael-hall-jr,michael hall,Milk & Honey Sports,1767457
Kendrick Bourne,kendrick-bourne,kendrick bourne,Disruptive,1765000
Montrell Washington,montrell-washington,montrell washington,JL Sports Agency,1765000
Cam Smith,cam-smith,cam smith,Loyalty Above All,1757106
Adoree' Jackson,adoree-jackson,adoree jackson,Alliance Sports,1755000
Kylen Granson,kylen-granson,kylen granson,SportsTrust Advisors,1750000
John Jenkins,john-jenkins,john jenkins,Envisage Sports,1750000
Irv Smith Jr.,irv-smith-jr,irv smith,Rosenhaus Sports Representation,1750000
Travis Homer,travis-homer,travis homer,Athletes Capital Agency,1750000
Patrick Paul,patrick-paul,patrick paul,Roc Nation,1727924
Zach Charbonnet,zach-charbonnet,zach charbonnet,VaynerSports,1719020
Abdullah Anderson,abdullah-anderson,abdullah anderson,LIFT Sports Management,1700000
Del'Shawn Phillips,delshawn-phillips,delshawn phillips,Equity Sports,1700000
Ross Dwelley,ross-dwelley,ross dwelley,Red Envelope Sports,1700000
Chris Braswell,chris-braswell,chris braswell,Klutch Sports Group,1696299
Darius Alexander,darius-alexander,darius alexander,VaynerSports,1690518
George Pickens,george-pickens,george pickens,Ace PR,1688045
Ashton Gillotte,ashton-gillotte,ashton gillotte,WME,1686156
Harold Fannin Jr.,harold-fannin-jr,harold fannin,Priority Sports & Entertainment,1685722
Darien Porter,darien-porter,darien porter,LIFT Sports Management,1681024
Gervon Dexter Sr.,gervon-dexter-sr,gervon dexter,Klutch Sports Group,1680932
Javon Bullard,javon-bullard,javon bullard,Rosenhaus Sports Representation,1676533
Zach Davidson,zach-davidson,zach davidson,Red Envelope Sports,1674000
Van Jefferson,van-jefferson,van jefferson,Goal Line Football,1670000
Isaac Teslaa,isaac-teslaa,isaac teslaa,The Familie,1666113
Kyler Mcmichael,kyler-mcmichael,kyler mcmichael,Priority Sports & Entertainment,1665000
Laviska Shenault Jr.,laviska-shenault-jr,laviska shenault,Aura Sports Group,1659464
Alec Pierce,alec-pierce,alec pierce,The Team,1650336
James Winchester,james-winchester,james winchester,1 of 1 Agency,1650000
Khalil Dorsey,khalil-dorsey,khalil dorsey,Milk & Honey Sports,1650000
Blake Fisher,blake-fisher,blake fisher,Klutch Sports Group,1648857
Azareye'H Thomas,azareyeh-thomas,azareyeh thomas,Athletes First,1648412
Tuli Tuipulotu,tuli-tuipulotu,tuli tuipulotu,Aura Sports Group,1642846
Sam Williams,sam-williams,sam williams,SportsTrust Advisors,1631686
Reid Ferguson,reid-ferguson,reid ferguson,OG1 Athletes,1625000
Rashee Rice,rashee-rice,rashee rice,Sixteenth,1623802
Jordan Burch,jordan-burch,jordan burch,Rosenhaus Sports Representation,1622369
Ennis Rakestraw Jr.,ennis-rakestraw-jr,ennis rakestraw,Ace PR,1621187
Jaylin Noel,jaylin-noel,jaylin noel,SportsTrust Advisors,1616714
Skyy Moore,skyy-moore,skyy moore,Independent Sports & Entertainment,1612625
Tyrique Stevenson,tyrique-stevenson,tyrique stevenson,First Round Management,1612375
Justin Walley,justin-walley,justin walley,VaynerSports,1611004
Matthew Orzech,matthew-orzech,matthew orzech,ProStar Sports Agency,1610000
Kevin Winston Jr.,kevin-winston-jr,kevin winston,Roc Nation,1601248
Dennis Daley,dennis-daley,dennis daley,1 of 1 Agency,1600000
Kris Boyd,kris-boyd,kris boyd,IFA (The Institute for Athletes),1600000
John Michael Schmitz,john-michael-schmitz,john michael schmitz,One West Sports Group,1593334
Jacob Parrish,jacob-parrish,jacob parrish,Priority Sports & Entertainment,1587162
Dillon Radunz,dillon-radunz,dillon radunz,Excel Sports Management,1581718
Jamaree Caldwell,jamaree-caldwell,jamaree caldwell,WIN Sports Group,1578317
Zach Wood,zach-wood,zach wood,SAPROS Sports Management,1577500
Joe Cardona,joe-cardona,joe cardona,International Sports Advisors,1575000
Savion Williams,savion-williams,savion williams,Roc Nation,1573114
Caleb Ransaw,caleb-ransaw,caleb ransaw,Klutch Sports Group,1570270
Charlie Heck,charlie-heck,charlie heck,JB Sports,1570000
Wyatt Milum,wyatt-milum,wyatt milum,1 of 1 Agency,1569326
Josaiah Stewart,josaiah-stewart,josaiah stewart,Roc Nation,1568853
Luke Schoonmaker,luke-schoonmaker,luke schoonmaker,JL Sports Agency,1566672
Jonas Sanker,jonas-sanker,jonas sanker,VaynerSports,1561301
Dillon Gabriel,dillon-gabriel,dillon gabriel,WIN Sports Group,1556581
O'Cyrus Torrence,ocyrus-torrence,ocyrus torrence,AthElite Agency,1555245
Jared Wilson,jared-wilson,jared wilson,1 of 1 Agency,1551858
Upton Stout,upton-stout,upton stout,Roc Nation,1540296
Caleb Rogers,caleb-rogers,caleb rogers,1 of 1 Agency,1540296
Tai Felton,tai-felton,tai felton,Equity Sports,1540296
Dj Turner,dj-turner,dj turner,Athletes First,1540011
Brenton Strange,brenton-strange,brenton strange,SportStars,1528583
Juice Scruggs,juice-scruggs,juice scruggs,Priority Sports & Entertainment,1524776
Ian Thomas,ian-thomas,ian thomas,Klutch Sports Group,1524500
Cameron Young,cameron-young,cameron young,Dream Point Sports,1522503
Brandon Coleman,brandon-coleman,brandon coleman,Roc Nation,1514556
Caedan Wallace,caedan-wallace,caedan wallace,SportStars,1510826
Junior Colson,junior-colson,junior colson,Valiant Management Group,1506752
Geno Stone,geno-stone,geno stone,JB Sports,1500000
Dee Alford,dee-alford,dee alford,SportStars,1500000
Jihad Ward,jihad-ward,jihad ward,WIN Sports Group,1500000
John Fitzpatrick,john-fitzpatrick,john fitzpatrick,IHC Sports,1500000
Steven Sims,steven-sims,steven sims,MS World LLC,1500000
Germaine Pratt,germaine-pratt,germaine pratt,Roc Nation,1500000
Jake Hansen,jake-hansen,jake hansen,Red Envelope Sports,1500000
Ed Ingram,ed-ingram,ed ingram,Klutch Sports Group,1499495
Andru Phillips,andru-phillips,andru phillips,Priority Sports & Entertainment,1498986
Coziah Izzard,coziah-izzard,coziah izzard,QPWB,1495000
Keonta Jenkins,keonta-jenkins,keonta jenkins,Believe Sports Group,1495000
Isaiah Adams,isaiah-adams,isaiah adams,Clarity Sports International,1493695
Addison West,addison-west,addison west,United Athlete Sports,1490000
Brent Matiscik,brent-matiscik,brent matiscik,SportStars,1490000
Garnett Hollis Jr.,garnett-hollis-jr,garnett hollis,3XL Sports Management,1488750
Cam Taylor-Britt,cam-taylor-britt,cam taylorbritt,Athletes First,1488182
Tuasivi Nomura,tuasivi-nomura,tuasivi nomura,Martin Sports Agency,1487500
Myles Purchase,myles-purchase,myles purchase,Optimal Sports Management,1487500
Jereme Robinson,jereme-robinson,jereme robinson,Exclusive Sports Group,1487500
A.j. Henning,aj-henning,aj henning,Priority Sports & Entertainment,1487500
Trey Washington,trey-washington,trey washington,National Sports Agency,1486000
Darius Lassiter,darius-lassiter,darius lassiter,Klutch Sports Group,1485000
Cooper Beebe,cooper-beebe,cooper beebe,CAA,1484930
Jamoi Mayes,jamoi-mayes,jamoi mayes,Believe Sports Group,1484000
Aaron Smith,aaron-smith,aaron smith,Young Money APAA Sports,1483750
Trent Sieg,trent-sieg,trent sieg,ProStar Sports Agency,1483333
Michael Gonzalez,michael-gonzalez,michael gonzalez,Bartko Sports Enterprises,1482500
Bralen Trice,bralen-trice,bralen trice,Ace PR,1482435
Kiran Amegadjie,kiran-amegadjie,kiran amegadjie,Clarity Sports International,1478581
Drake Jackson,drake-jackson,drake jackson,Rosenhaus Sports Representation,1473098
Jonah Elliss,jonah-elliss,jonah elliss,First Round Management,1467679
Delmar Glaze,delmar-glaze,delmar glaze,LIFT Sports Management,1466448
Calen Bullock,calen-bullock,calen bullock,Athletes First,1464250
Tyler Ott,tyler-ott,tyler ott,1 of 1 Agency,1463333
Bryan Cook,bryan-cook,bryan cook,SportStars,1461785
Matt Goncalves,matt-goncalves,matt goncalves,1 of 1 Agency,1459760
James Cook,james-cook,james cook,Loyalty Above All,1458014
Christian Haynes,christian-haynes,christian haynes,Ace PR,1450691
Aidan O'Connell,aidan-oconnell,aidan oconnell,LIFT Sports Management,1449793
Liam Mccullough,liam-mccullough,liam mccullough,Longsnap,1445000
Blake Corum,blake-corum,blake corum,Excel Sports Management,1440941
Adam Gotsis,adam-gotsis,adam gotsis,Aura Sports Group,1440000
Kene Nwangwu,kene-nwangwu,kene nwangwu,Generation Sports Group,1440000
Feleipe Franks,feleipe-franks,feleipe franks,Maven Sports Group,1440000
Tyler Steen,tyler-steen,tyler steen,Alliance Sports,1437611
Sydney Brown,sydney-brown,sydney brown,GSE Worldwide,1436110
Dominick Puni,dominick-puni,dominick puni,1 of 1 Agency,1425137
Kendall Lamm,kendall-lamm,kendall lamm,LIFT Sports Management,1425000
Al-Quadin Muhammad,al-quadin-muhammad,alquadin muhammad,Rosenhaus Sports Representation,1422500
Derrick Nnadi,derrick-nnadi,derrick nnadi,SportsTrust Advisors,1422500
Pheldarius Payne,pheldarius-payne,pheldarius payne,Peterson Sports Management,1422500
Charley Hughlett,charley-hughlett,charley hughlett,Tessler Sports Management,1422500
Carson Wentz,carson-wentz,carson wentz,Excel Sports Management,1422500
Jon Weeks,jon-weeks,jon weeks,"Ascension Enterprises, Inc",1422500
David Moore,david-moore,david moore,KMM Sports,1422500
Elijah Wilkinson,elijah-wilkinson,elijah wilkinson,Excel Sports Management,1422500
Jonathan Bullard,jonathan-bullard,jonathan bullard,SportStars,1422500
Deandre Carter,deandre-carter,deandre carter,Exclusive Sports Group,1422500
Michael Burton,michael-burton,michael burton,Legend Agency,1422500
Brandon Allen,brandon-allen,brandon allen,Range Media Partners,1422500
Andrus Peat,andrus-peat,andrus peat,CAA,1422500
Chuck Clark,chuck-clark,chuck clark,WIN Sports Group,1422500
Jerome Baker,jerome-baker,jerome baker,Rosenhaus Sports Representation,1422500
Chris Manhertz,chris-manhertz,chris manhertz,SES Sports,1422500
Elijah Jones,elijah-jones,elijah jones,"MRM Sports and Entertainment, LLC",1421380
Bryan Hudson,bryan-hudson,bryan hudson,Bartko Sports Enterprises,1420000
Byron Young,byron-young,byron young,Klutch Sports Group,1417178
Jalen Mcmillan,jalen-mcmillan,jalen mcmillan,Roc Nation,1415756
Kendre Miller,kendre-miller,kendre miller,Sixteenth,1413580
Adisa Isaac,adisa-isaac,adisa isaac,1 of 1 Agency,1412009
Garrett Williams,garrett-williams,garrett williams,WIN Sports Group,1408731
Jalyx Hunt,jalyx-hunt,jalyx hunt,Sports Law and Management (SLAM),1408259
