name,slug,norm_key,agency_name,aav_aa
Budda Baker,budda-baker,budda baker,Ace PR,18000000
Christian Kirk,christian-kirk,christian kirk,Klutch Sports Group,18000000
Byron Murphy,byron-murphy,byron murphy,LIFT Sports Management,18000000
Khalil Mack,khalil-mack,khalil mack,WIN Sports Group,18000000
Creed Humphrey,creed-humphrey,creed humphrey,B2 Enterprises,18000000
Carlton Davis,carlton-davis,carlton davis,Ace PR,18000000
Charvarius Ward,charvarius-ward,charvarius ward,Universal Sports & Entertainment Management,18000000
Deebo Samuel,deebo-samuel,deebo samuel,Excel Sports Management,17545529
Will Fries,will-fries,will fries,JL Sports Agency,17544000
Jerry Jeudy,jerry-jeudy,jerry jeudy,Equity Sports,17500000
Joe Thuney,joe-thuney,joe thuney,VaynerSports,17500000
Terence Steele,terence-steele,terence steele,Roc Nation,17360000
Jamel Dean,jamel-dean,jamel dean,Roc Nation,17333333
Christian Benford,christian-benford,christian benford,EnterSports Management,17250000
Ben Powers,ben-powers,ben powers,Shark Sports Management,17166667
Bryce Huff,bryce-huff,bryce huff,CAA,17033333
Jonathan Allen,jonathan-allen,jonathan allen,Everett Sports Marketing (ESM),17000000
Cam Jurgens,cam-jurgens,cam jurgens,Excel Sports Management,17000000
Jonah Jackson,jonah-jackson,jonah jackson,Eastern Athletic Services,17000000
Danielle Hunter,danielle-hunter,danielle hunter,Klutch Sports Group,17000000
Ed Oliver,ed-oliver,ed oliver,WIN Sports Group,17000000
Romeo Doubs,romeo-doubs,romeo doubs,Be The Best Sports Group,17000000
Arik Armstead,arik-armstead,arik armstead,The Team,17000000
Chase Young,chase-young,chase young,Klutch Sports Group,17000000
Deforest Buckner,deforest-buckner,deforest buckner,WIN Sports Group,16800000
Denzel Ward,denzel-ward,denzel ward,3 Arts Entertainment,16750000
T.j. Hockenson,tj-hockenson,tj hockenson,"NC Sports, LLC",16500000
Trevon Diggs,trevon-diggs,trevon diggs,1UP Sports Marketing,16166667
Orlando Brown,orlando-brown,orlando brown,Portner Sports and Entertainment,16023000
Jessie Bates Iii,jessie-bates-iii,jessie bates,Ace PR,16005000
Harrison Smith,harrison-smith,harrison smith,Ace PR,16000000
D.j. Reed,dj-reed,dj reed,Athletes First,16000000
Dayo Odeyingbo,dayo-odeyingbo,dayo odeyingbo,Ace PR,16000000
Cooper Kupp,cooper-kupp,cooper kupp,Excel Sports Management,15700000
Jevon Holland,jevon-holland,jevon holland,Ace PR,15100000
Camryn Bynum,camryn-bynum,camryn bynum,EAG Sports Management,15000000
Javon Hargrave,javon-hargrave,javon hargrave,Rosenhaus Sports Representation,15000000
Derrick Henry,derrick-henry,derrick henry,Ace PR,15000000
Jonathon Cooper,jonathon-cooper,jonathon cooper,Shark Sports Management,15000000
Javon Kinlaw,javon-kinlaw,javon kinlaw,WIN Sports Group,15000000
Jaylon Moore,jaylon-moore,jaylon moore,SportStars,15000000
Jack Conklin,jack-conklin,jack conklin,Rosenhaus Sports Representation,15000000
Joel Bitonio,joel-bitonio,joel bitonio,OG1 Athletes,15000000
Allen Lazard,allen-lazard,allen lazard,Rubicon Talent,14666667
Dion Dawkins,dion-dawkins,dion dawkins,William Raymond Communications,14575000
Dalvin Tomlinson,dalvin-tomlinson,dalvin tomlinson,SportsTrust Advisors,14500000
Cameron Heyward,cameron-heyward,cameron heyward,Priority Sports & Entertainment,14500000
Braden Smith,braden-smith,braden smith,Priority Sports & Entertainment,14480000
Larry Ogunjobi,larry-ogunjobi,larry ogunjobi,WIN Sports Group,14375000
Grady Jarrett,grady-jarrett,grady jarrett,Ace PR,14250000
Deion Jones,deion-jones,deion jones,Rosenhaus Sports Representation,14250000
Jonathan Taylor,jonathan-taylor,jonathan taylor,First Round Management,14000000
Kyle Dugger,kyle-dugger,kyle dugger,1 of 1 Agency,13815000
Tre'Davious White,tredavious-white,tredavious white,Universal Sports & Entertainment Management,13800000
David Njoku,david-njoku,david njoku,The Cut,13687500
Aaron Rodgers,aaron-rodgers,aaron rodgers,Bernstein Private Wealth Management,13650000
Elgton Jenkins,elgton-jenkins,elgton jenkins,Klutch Sports Group,13600000
Demarcus Lawrence,demarcus-lawrence,demarcus lawrence,Aura Sports Group,13333333
Isaiah Likely,isaiah-likely,isaiah likely,Rubicon Talent,13333333
Mike Ford,mike-ford,mike ford,Rosenhaus Sports Representation,13000000
Gabe Davis,gabe-davis,gabe davis,Roc Nation,13000000
D.j. Jones,dj-jones,dj jones,WIN Sports Group,13000000
Grover Stewart,grover-stewart,grover stewart,SportStars,13000000
Talanoa Hufanga,talanoa-hufanga,talanoa hufanga,Equity Sports,13000000
Jimmie Ward,jimmie-ward,jimmie ward,LIFT Sports Management,13000000
Erik Mccoy,erik-mccoy,erik mccoy,Apex Sports Group,12750000
Cole Kmet,cole-kmet,cole kmet,Athletes First,12500000
Patrick Mekari,patrick-mekari,patrick mekari,Compass Sports Advisors,12500000
Alvin Kamara,alvin-kamara,alvin kamara,DR31 Sports,12250000
Rashod Bateman,rashod-bateman,rashod bateman,Roc Nation,12250000
Courtland Sutton,courtland-sutton,courtland sutton,Milk & Honey Sports,12160000
Jonnu Smith,jonnu-smith,jonnu smith,Rosenhaus Sports Representation,12010000
Josh Jacobs,josh-jacobs,josh jacobs,"Black Label Sports Group, LLC",12000000
Austin Jackson,austin-jackson,austin jackson,Ace PR,12000000
Travis Kelce,travis-kelce,travis kelce,Milk & Honey Sports,12000000
Josh Metellus,josh-metellus,josh metellus,Rosenhaus Sports Representation,12000000
Brandon Stephens,brandon-stephens,brandon stephens,Athletes First,12000000
Cam Robinson,cam-robinson,cam robinson,The Team,12000000
David Onyemata,david-onyemata,david onyemata,Red Envelope Sports,11666667
Travis Hunter,travis-hunter,travis hunter,SMAC Entertainment,11662282
Stephon Gilmore,stephon-gilmore,stephon gilmore,AP Brand Group,11500000
Michael Gallup,michael-gallup,michael gallup,Capital Sports Advisors,11500000
Curtis Samuel,curtis-samuel,curtis samuel,Athletes First,11500000
Evan Engram,evan-engram,evan engram,VaynerSports,11500000
Azeez Al-Shaair,azeez-al-shaair,azeez alshaair,SportStars,11333333
