name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
Derwin James,S,Chargers,UFA,87.9,31.0,19000000.0,38584471.0,LAC,S,derwin-james,6.2,16.0,8.1,10,"['Jessie Bates III (age 30, $16.0M)', 'Malik Hooker (age 31, $5.0M)', 'Jeremy Chinn (age 29, $8.1M)', 'Minkah Fitzpatrick (age 29, $18.4M)']","10 comps at S, age 28.0-34.0"
Michael Onwenu,RT,Patriots,UFA,98.9,30.0,19000000.0,36500000.0,NE,OL,michael-onwenu,7.2,22.2,15.0,25,"['Ryan Neuzil (age 30, $4.8M)', 'Jon Runyan, Jr. (age 30, $10.0M)', 'Aaron Brewer (age 30, $7.0M)', 'Frank Ragnow (age 30, $14.0M)']","25 comps at OL, age 27.0-33.0"
Brian O'Neill,RT,Vikings,UFA,73.3,32.0,18500000.0,22576118.0,MIN,OL,brian-oneill,4.8,13.6,8.0,20,"['Garrett Bradbury (age 32, $4.7M)', 'Kevin Dotson (age 31, $16.0M)', 'Coleman Shelton (age 32, $6.0M)', 'Laremy Tunsil (age 33, $24.0M)']","20 comps at OL, age 29.0-35.0"
Khalil Mack,EDGE,Chargers,UFA,41.7,36.0,18000000.0,18000000.0,LAC,EDGE,khalil-mack,6.7,15.1,9.9,8,"['Bud Dupree (age 34, $4.0M)', 'Arik Armstead (age 34, $14.5M)', 'Al-Quadin Muhammad (age 32, $4.0M)', 'Andrew Van Ginkel (age 32, $23.0M)']","8 comps at EDGE, age 33.0-39.0"
Vita Vea,IDL,Buccaneers,Void,73.2,32.0,17750000.0,14734440.0,TB,IDL,vita-vea,8.5,25.8,12.6,17,"['Chris Jones (age 32, $31.8M)', 'DJ Reader (age 32, $11.0M)', ""A'Shawn Robinson (age 32, $10.0M)"", 'Leonard Williams (age 33, $21.5M)']","17 comps at IDL, age 29.0-35.0"
Jessie Bates III,S,Falcons,Void,98.9,30.0,16005000.0,36000000.0,ATL,S,jessie-bates-iii,6.2,20.2,8.9,10,"['Grant Delpit (age 29, $12.0M)', 'Jeremy Chinn (age 29, $8.1M)', 'Derwin James (age 31, $19.0M)', 'Minkah Fitzpatrick (age 29, $18.4M)']","10 comps at S, age 27.0-33.0"
Kevin Dotson,RG,Rams,UFA,78.1,31.0,16000000.0,24000000.0,LAR,OL,kevin-dotson,5.9,18.8,12.4,25,"['Quenton Nelson (age 31, $20.0M)', 'Hjalte Froholdt (age 31, $6.0M)', 'Frank Ragnow (age 30, $14.0M)', ""Brian O'Neill (age 32, $18.5M)""]","25 comps at OL, age 28.0-34.0"
Aaron Rodgers,QB,Steelers,UFA,89.0,44.0,15515000.0,0.0,PIT,QB,aaron-rodgers,10.4,30.8,13.6,3,"['Joe Flacco (age 42, $6.0M)', 'Matt Stafford (age 39, $40.0M)', 'Kirk Cousins (age 39, $11.3M)']","3 comps at QB, age 41.0-47.0"
Kyle Pitts,TE,Falcons,UFA,87.7,27.0,15045000.0,0.0,ATL,TE,kyle-pitts,5.6,13.5,9.0,7,"['Trey McBride (age 26, $16.5M)', 'Tommy Tremble (age 27, $5.2M)', 'Sam LaPorta (age 25, $12.2M)', 'Colby Parkinson (age 28, $7.5M)']","7 comps at TE, age 24.0-30.0"
Jaylon Moore,LT,Chiefs,UFA,38.4,29.0,15000000.0,21240000.0,KC,OL,jaylon-moore,4.8,14.8,8.0,25,"['Austin Jackson (age 28, $7.0M)', 'Chris Lindstrom (age 29, $20.5M)', 'Ben Powers (age 31, $13.0M)', 'Larry Borom (age 28, $5.0M)']","25 comps at OL, age 26.0-32.0"
