Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Baron Browning,EDGE,Cardinals,,UFA,45.30%,28,"$7,500,000 ","$10,000,000 "
Harrison Phillips,IDL,Jets,,UFA,61.40%,31,"$7,500,000 ","$10,266,667 "
Colby Parkinson,TE,Rams,,UFA,54.70%,28,"$7,500,000 ","$10,250,000 "
Patrick Jones II,EDGE,Panthers,,UFA,15.20%,29,"$7,500,000 ","$10,250,000 "
Blake Cashman,LB,Vikings,,Void,73.80%,31,"$7,500,000 ","$9,475,000 "
Tony Pollard,RB,Titans,,UFA,62.20%,30,"$7,250,000 ","$10,490,000 "
Tedarrell Slaton,IDL,Bengals,,UFA,53.40%,30,"$7,050,000 ","$5,000,000 "
Dallas Goedert,TE,Eagles,,Void,74.70%,32,"$7,000,000 ","$7,000,000 "
Aaron Brewer,C,Dolphins,,Void,92.20%,30,"$7,000,000 ","$10,215,000 "
Davis Mills,QB,Texans,,UFA,25.20%,29,"$7,000,000 ","$10,250,000 "
Kevin Byard,S,Patriots,,UFA,99.80%,34,"$7,000,000 ","$6,170,000 "
Marcus Mariota,QB,Commanders,,UFA,48.40%,34,"$7,000,000 ","$6,390,000 "
Divine Deablo,LB,Falcons,,UFA,67.90%,29,"$7,000,000 ","$6,660,000 "
Austin Jackson,RT,Dolphins,,Void,31.60%,28,"$7,000,000 ","$5,475,000 "
Zaven Collins,LB,Cardinals,,UFA,47.40%,28,"$7,000,000 ","$11,250,000 "
Ikem Ekwonu,LT,Panthers,,UFA,88.90%,27,"$6,892,013 ","$27,568,050 "
Christian Elliss,LB,Patriots,,UFA,49.50%,28,"$6,754,000 ","$7,750,000 "
Brandon Jones,S,Broncos,,UFA,77.50%,29,"$6,666,667 ","$11,000,000 "
Kadyn Proctor,T,Dolphins,,ERFA,0.00%,22,"$6,530,029 ",$0 
Donte Jackson,CB,Chargers,,UFA,58.90%,32,"$6,500,000 ","$7,000,000 "
Ty Simpson,QB,Rams,,ERFA,0.00%,25,"$6,353,039 ",$0 
Tyree Wilson,EDGE,Saints,,UFA,41.40%,27,"$6,251,375 ","$25,005,500 "
Jacoby Brissett,QB,Cardinals,,UFA,71.50%,35,"$6,250,000 ","$6,500,000 "
Dalvin Tomlinson,IDL,Chargers,,UFA,48.40%,33,"$6,200,000 ","$5,690,000 "
Coleman Shelton,RG,Rams,,UFA,98.70%,32,"$6,000,000 ","$9,000,000 "
Hjalte Froholdt,C,Cardinals,,UFA,98.80%,31,"$6,000,000 ","$7,250,000 "
Keisean Nixon,CB,Packers,,UFA,90.50%,30,"$6,000,000 ","$6,500,000 "
Jarrett Stidham,QB,Broncos,,UFA,0.40%,31,"$6,000,000 ","$6,990,000 "
Joe Flacco,QB,Bengals,,Void,62.70%,42,"$6,000,000 ","$4,000,000 "
Dre Greenlaw,LB,49ers,,Void,28.80%,30,"$6,000,000 ","$6,000,000 "
Rueben Bain,EDGE,Buccaneers,,ERFA,0.00%,23,"$5,940,061 ",$0 
Ja'Quan McMillian,CB,Broncos,,UFA,66.00%,27,"$5,767,000 ",$0 
T.J. Bass,RG,Cowboys,,UFA,29.60%,28,"$5,767,000 ",$0 
Gardner Minshew,QB,Cardinals,,UFA,3.70%,31,"$5,750,000 ","$5,140,000 "
Kenyon Sadiq,TE,Jets,,ERFA,0.00%,22,"$5,586,076 ",$0 
Aaron Jones,RB,Vikings,,UFA,33.70%,33,"$5,560,000 ","$5,000,000 "
Isaiah Rodgers,CB,Vikings,,UFA,90.00%,29,"$5,522,500 ","$7,995,000 "
Jaquan Brisker,S,Steelers,,UFA,99.90%,28,"$5,500,000 ","$4,285,000 "
Trent Brown,RT,Texans,,UFA,41.30%,34,"$5,500,000 ","$1,750,000 "
Davon Godchaux,IDL,Saints,,Void,41.50%,33,"$5,500,000 ","$7,450,000 "
Blake Miller,T,Lions,,ERFA,0.00%,23,"$5,468,079 ",$0 
Drake London,WR,Falcons,,UFA,64.70%,26,"$5,383,618 ","$21,534,472 "
Caleb Banks,IDL,Vikings,,ERFA,0.00%,24,"$5,320,595 ",$0 
Jason Myers,K,Seahawks,,UFA,44.40%,36,"$5,275,000 ","$8,665,000 "
Broderick Washington,IDL,Ravens,,UFA,9.00%,31,"$5,250,000 ","$10,000,000 "
Tommy Tremble,TE,Panthers,,UFA,59.90%,27,"$5,250,000 ","$6,000,000 "
Michael Jackson Sr.,CB,Panthers,,UFA,98.50%,30,"$5,250,000 ","$5,700,000 "
Jordan Mason,RB,Vikings,,Void,41.30%,28,"$5,250,000 ","$7,230,000 "
Monroe Freeling,T,Panthers,,ERFA,0.00%,23,"$5,232,091 ",$0 
Max Iheanachor,T,Steelers,,ERFA,0.00%,24,"$5,173,097 ",$0 
Akheem Mesidor,EDGE,Chargers,,ERFA,0.00%,26,"$5,114,098 ",$0 
Malachi Lawrence,EDGE,Cowboys,,ERFA,0.00%,24,"$5,055,104 ",$0 
Jawaan Taylor,RT,Falcons,,UFA,68.30%,30,"$5,000,000 ",$0 
Chris Boswell,K,Steelers,,UFA,33.00%,36,"$5,000,000 ","$9,760,000 "
