Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
C.J. Allen,LB,Colts,,ERFA,0.00%,,"$2,282,236 ",$0 
Derick Hall,EDGE,Seahawks,,UFA,37.20%,26,"$2,278,901 ","$7,222,566 "
Andrew Ogletree,TE,Colts,,UFA,21.10%,29,"$2,250,000 ","$1,500,000 "
Bennett Skowronek,WR,Steelers,,UFA,15.40%,30,"$2,250,000 ","$1,080,000 "
Nick Niemann,LB,Packers,,UFA,0.00%,30,"$2,250,000 ","$500,000 "
Nick Mullens,QB,Jaguars,,UFA,3.10%,32,"$2,250,000 ","$3,000,000 "
Matthew Bergeron,LG,Falcons,,UFA,83.20%,27,"$2,244,621 ","$7,014,143 "
Eli Stowers,TE,Eagles,,ERFA,0.00%,,"$2,223,241 ",$0 
Gabe Jacas,EDGE,Patriots,,ERFA,0.00%,,"$2,164,243 ",$0 
Percy Butler,S,Commanders,,UFA,1.80%,27,"$2,150,000 ","$3,406,000 "
B.J. Ojulari,EDGE,Cardinals,,UFA,17.80%,25,"$2,149,404 ","$6,532,849 "
Tony Adams,S,Titans,,UFA,41.50%,28,"$2,140,000 ","$1,000,000 "
Nate Boerkircher,TE,Jaguars,,ERFA,0.00%,,"$2,134,749 ",$0 
Luke Musgrave,TE,Packers,,UFA,40.70%,27,"$2,118,936 ","$6,348,437 "
Logan Jones,C,Bears,,ERFA,0.00%,,"$2,117,045 ",$0 
Nick Bellore,LB,Commanders,,UFA,0.70%,38,"$2,100,000 ","$1,750,000 "
Fred Johnson,RG,Eagles,,Void,59.40%,30,"$2,100,000 ","$800,000 "
Joe Tippmann,C,Jets,,UFA,99.90%,26,"$2,089,901 ","$6,167,665 "
Emmanuel McNeil-Warren,S,Browns,,ERFA,0.00%,,"$2,087,548 ",$0 
Julius Brents,CB,Dolphins,,UFA,10.30%,27,"$2,049,234 ","$5,975,996 "
Marlin Klein,TE,Texans,,ERFA,0.00%,,"$2,046,246 ",$0 
Anthony Hill Jr.,LB,Titans,,ERFA,0.00%,,"$2,028,548 ",$0 
Brian Branch,S,Lions,,UFA,67.60%,26,"$2,005,436 ","$5,623,617 "
Max Klare,TE,Rams,,ERFA,0.00%,,"$2,004,949 ",$0 
Chris Williams,IDL,Falcons,,UFA,20.40%,29,"$2,000,000 ","$500,000 "
Kalia Davis,IDL,Browns,,UFA,45.30%,29,"$2,000,000 ","$1,745,000 "
Chris Rumph II,EDGE,Saints,,UFA,30.00%,29,"$2,000,000 ","$2,000,000 "
Siran Neal,CB,49ers,,Void,0.00%,33,"$2,000,000 ","$2,255,000 "
Naquan Jones,IDL,Texans,,UFA,17.70%,29,"$2,000,000 ","$300,000 "
Kene Nwangwu,RB,Jets,,UFA,2.70%,29,"$2,000,000 ","$1,000,000 "
Thomas Incoom,EDGE,Panthers,,UFA,2.40%,28,"$2,000,000 ","$1,100,000 "
Jonathan Jones,CB,Eagles,,Void,42.50%,34,"$2,000,000 ","$2,000,000 "
Joey Slye,K,Titans,,UFA,27.50%,31,"$2,000,000 ","$750,000 "
Kayode Awosika,RT,Chargers,,UFA,26.00%,29,"$2,000,000 ","$300,000 "
Jonathan Bullard,IDL,Cowboys,,UFA,29.70%,34,"$2,000,000 ","$1,500,000 "
Christian Izien,S,Lions,,UFA,15.90%,27,"$2,000,000 ","$1,000,000 "
Corey Bojorquez,P,Browns,,UFA,29.50%,31,"$2,000,000 ","$937,500 "
Deane Leonard,CB,Chargers,,UFA,3.50%,28,"$2,000,000 ","$1,215,000 "
John Jenkins,IDL,Ravens,,UFA,46.10%,38,"$2,000,000 ","$345,000 "
Quintin Morris,TE,Jaguars,,UFA,18.60%,28,"$2,000,000 ","$1,700,000 "
Stone Forsythe,LT,Panthers,,UFA,70.90%,30,"$2,000,000 ","$1,050,000 "
Sam Ehlinger,QB,Broncos,,UFA,0.00%,29,"$2,000,000 ","$1,000,000 "
Matt Peart,RT,Broncos,,UFA,5.60%,30,"$2,000,000 ","$755,000 "
Josh Whyle,TE,Packers,,UFA,16.70%,28,"$2,000,000 ","$370,000 "
L.J. Collier,EDGE,Cardinals,,UFA,8.60%,32,"$2,000,000 ","$750,000 "
Max Mitchell,LG,Jets,,UFA,6.90%,28,"$2,000,000 ","$1,000,000 "
Rachaad White,RB,Commanders,,UFA,50.60%,28,"$2,000,000 ","$1,715,000 "
Nick Scott,S,Panthers,,UFA,97.90%,32,"$2,000,000 ","$1,100,000 "
Grant Calcaterra,TE,Eagles,,UFA,36.10%,29,"$2,000,000 ","$700,000 "
Davison Igbinosun,CB,Bills,,ERFA,0.00%,,"$1,987,253 ",$0 
Jake Slaughter,C,Chargers,,ERFA,0.00%,,"$1,981,353 ",$0 
Bud Clark,S,Seahawks,,ERFA,0.00%,,"$1,969,550 ",$0 
Keion White,EDGE,49ers,,UFA,41.40%,28,"$1,947,543 ","$5,321,683 "
Quan Martin,S,Commanders,,UFA,81.40%,27,"$1,909,456 ","$5,111,995 "
Blake Gillikin,P,Cardinals,,UFA,9.70%,29,"$1,905,000 ","$450,000 "
John Metchie III,WR,Panthers,,UFA,42.40%,27,"$1,900,000 ","$1,000,000 "
Joey Blount,S,Cardinals,,UFA,0.00%,29,"$1,875,000 ","$400,000 "
Cody Mauch,RT,Buccaneers,,UFA,12.20%,28,"$1,871,368 ","$4,613,240 "
Carson Beck,QB,Cardinals,,ERFA,0.00%,,"$1,851,498 ",$0 
Chad Ryland,K,Cardinals,,UFA,33.30%,28,"$1,850,000 ","$475,000 "
Devin Duvernay,WR,Cardinals,,UFA,3.50%,30,"$1,850,000 ","$550,000 "
Tyler Onyedim,IDL,Broncos,,ERFA,0.00%,,"$1,846,329 ",$0 
Keyron Crawford,EDGE,Raiders,,ERFA,0.00%,,"$1,845,815 ",$0 
Markel Bell,T,Eagles,,ERFA,0.00%,,"$1,840,246 ",$0 
Sam Roush,TE,Bears,,ERFA,0.00%,,"$1,834,167 ",$0 
Keeanu Benton,IDL,Steelers,,UFA,64.10%,26,"$1,833,281 ","$4,279,836 "
Romello Height,EDGE,49ers,,ERFA,0.00%,,"$1,822,577 ",$0 
Josh Harris,LS,Chargers,,UFA,16.00%,38,"$1,815,000 ","$1,815,000 "
Antonio Williams,WR,Commanders,,ERFA,0.00%,,"$1,814,680 ",$0 
Kaiir Elam,CB,Chiefs,,UFA,49.00%,26,"$1,810,000 ","$500,000 "
Kader Kohou,CB,Chiefs,,UFA,0.00%,29,"$1,810,000 ","$1,810,000 "
Isiah Pacheco,RB,Lions,,UFA,38.10%,28,"$1,810,000 ","$1,810,000 "
Noah Igbinoghene,CB,Seahawks,,UFA,32.70%,28,"$1,810,000 ","$750,000 "
Tacario Davis,CB,Bengals,,ERFA,0.00%,,"$1,809,105 ",$0 
Dareke Young,WR,Raiders,,UFA,4.90%,28,"$1,802,000 ","$800,000 "
Oscar Delp,TE,Saints,,ERFA,0.00%,,"$1,801,601 ",$0 
Teddy Bridgewater,QB,Lions,,UFA,3.10%,35,"$1,800,000 ","$1,587,500 "
Samaje Perine,RB,Bengals,,UFA,31.10%,32,"$1,800,000 ","$400,000 "
Malachi Fields,WR,Giants,,ERFA,0.00%,,"$1,797,878 ",$0 
Caleb Douglas,WR,Dolphins,,ERFA,0.00%,,"$1,792,125 ",$0 
Miles Killebrew,S,Buccaneers,,UFA,0.00%,34,"$1,790,000 ","$490,000 "
Drew Allar,QB,Steelers,,ERFA,0.00%,,"$1,775,852 ",$0 
A.J. Haulcy,S,Colts,,ERFA,0.00%,,"$1,770,737 ",$0 
Brandon Pili,IDL,Seahawks,,UFA,13.40%,28,"$1,765,000 ","$750,000 "
Zachariah Branch,WR,Falcons,,ERFA,0.00%,,"$1,764,036 ",$0 
Albert Regis,IDL,Jaguars,,ERFA,0.00%,,"$1,750,503 ",$0 
Robert Jones,RG,49ers,,UFA,0.00%,28,"$1,750,000 ","$1,640,000 "
Dyami Brown,WR,Commanders,,UFA,31.00%,28,"$1,750,000 ","$250,000 "
Esezi Otomewo,EDGE,Steelers,,UFA,14.90%,28,"$1,750,000 ","$187,500 "
Domonique Orange,IDL,Vikings,,ERFA,0.00%,,"$1,745,709 ",$0 
Chris Brazzell II,WR,Panthers,,ERFA,0.00%,,"$1,735,953 ",$0 
Ted Hurst,WR,Buccaneers,,ERFA,0.00%,,"$1,729,014 ",$0 
Daylen Everette,CB,Steelers,,ERFA,0.00%,,"$1,725,124 ",$0 
Andrew DePaola,LS,Vikings,,UFA,29.80%,40,"$1,725,000 ","$1,725,000 "
Brevin Jordan,TE,Texans,,UFA,0.00%,27,"$1,720,000 ","$200,000 "
Zach Charbonnet,RB,Seahawks,,UFA,45.40%,26,"$1,719,020 ","$3,813,333 "
Austin Barber,T,Browns,,ERFA,0.00%,,"$1,718,531 ",$0 
Will Kacmarek,TE,Dolphins,,ERFA,0.00%,,"$1,712,366 ",$0 
Emmanuel Pregnon,G,Jaguars,,ERFA,0.00%,,"$1,708,997 ",$0 
Zavion Thomas,WR,Bears,,ERFA,0.00%,,"$1,707,878 ",$0 
Kaelon Black,RB,49ers,,ERFA,0.00%,,"$1,707,319 ",$0 
James Winchester,LS,Chiefs,,UFA,30.60%,38,"$1,700,000 ","$1,700,000 "
Keagen Trost,T,Rams,,ERFA,0.00%,,"$1,698,367 ",$0 
Brenton Cox Jr.,EDGE,Packers,,UFA,7.10%,27,"$1,695,000 ","$250,000 "
Chris Bell,WR,Dolphins,,ERFA,0.00%,,"$1,692,774 ",$0 
Eli Raridon,TE,Patriots,,ERFA,0.00%,,"$1,687,178 ",$0 
Gennings Dunker,G,Steelers,,ERFA,0.00%,,"$1,681,586 ",$0 
Gervon Dexter,IDL,Bears,,UFA,62.00%,27,"$1,680,933 ","$3,695,612 "
Caleb Tiernan,T,Vikings,,ERFA,0.00%,,"$1,673,475 ",$0 
Jalen Huskey,S,Jaguars,,ERFA,0.00%,,"$1,673,475 ",$0 
Jakobe Thomas,S,Vikings,,ERFA,0.00%,,"$1,673,475 ",$0 
James Mitchell,TE,Panthers,,UFA,4.40%,28,"$1,655,000 ","$590,000 "
Ko Kieft,TE,Buccaneers,,UFA,2.60%,29,"$1,650,000 ","$600,000 "
Khalil Dorsey,CB,Lions,,UFA,3.30%,29,"$1,650,000 ","$300,000 "
Tuli Tuipulotu,EDGE,Chargers,,UFA,72.20%,25,"$1,642,846 ","$3,577,887 "
Nate Adkins,TE,Broncos,,UFA,17.50%,28,"$1,635,000 ","$300,000 "
Rashee Rice,WR,Chiefs,,UFA,37.30%,27,"$1,623,805 ","$3,519,033 "
Ian Thomas,TE,Raiders,,UFA,32.00%,31,"$1,615,000 ","$612,500 "
Tyrique Stevenson,CB,Bears,,UFA,54.80%,27,"$1,612,376 ","$3,483,707 "
Matt Gay,K,Raiders,,UFA,25.40%,33,"$1,600,000 ","$1,350,000 "
Emanuel Wilson,RB,Seahawks,,UFA,31.00%,28,"$1,595,000 ","$550,000 "
John Michael Schmitz,C,Giants,,UFA,68.50%,28,"$1,593,334 ","$3,424,849 "
Jalen Davis,CB,Bengals,,UFA,24.80%,31,"$1,575,000 ","$100,000 "
Luke Schoonmaker,TE,Cowboys,,UFA,33.00%,29,"$1,566,670 ","$3,342,433 "
O'Cyrus Torrence,RG,Bills,,UFA,99.70%,27,"$1,555,245 ","$3,307,120 "
Christian Rozeboom,LB,Buccaneers,,UFA,77.90%,30,"$1,550,000 ","$950,000 "
Marcus Epps,S,Eagles,,Void,22.20%,31,"$1,550,000 ","$125,000 "
D.J. Turner,CB,Bengals,,UFA,89.40%,27,"$1,540,010 ","$3,260,030 "
Brenton Strange,TE,Jaguars,,UFA,51.40%,27,"$1,528,586 ","$3,224,717 "
Juice Scruggs,C,Lions,,UFA,30.30%,27,"$1,524,777 ","$3,212,948 "
Marvin Mims,WR,Broncos,,UFA,33.20%,25,"$1,517,159 ","$3,189,399 "
Martin Emerson,CB,Saints,,UFA,0.00%,27,"$1,515,000 ","$650,000 "
Calvin Austin III,WR,Giants,,UFA,43.30%,28,"$1,500,000 ","$450,000 "
Johnny Mundt,TE,Eagles,,Void,33.80%,33,"$1,500,000 ","$750,000 "
DeAngelo Malone,EDGE,Falcons,,UFA,1.70%,28,"$1,500,000 ","$215,000 "
Jake Moody,K,Commanders,,UFA,18.80%,28,"$1,500,000 ","$125,000 "
Dawand Jones,RT,Browns,,UFA,13.20%,26,"$1,500,000 ","$1,245,000 "
Tony Jefferson,S,Chargers,,UFA,48.30%,35,"$1,500,000 ","$1,400,000 "
Jonathan Ford,IDL,Packers,,UFA,11.60%,29,"$1,500,000 ","$100,000 "
Tycen Anderson,S,Broncos,,UFA,5.90%,28,"$1,500,000 ","$650,000 "
Josh Johnson,QB,Bengals,,UFA,13.10%,41,"$1,500,000 ","$200,000 "
Storm Norton,RT,Falcons,,UFA,0.00%,33,"$1,500,000 ","$500,000 "
Matt Pryor,C,Cardinals,,UFA,11.60%,33,"$1,487,500 ","$187,500 "
Darnell Savage Jr.,S,Steelers,,UFA,24.20%,30,"$1,487,500 ","$187,500 "
Jerry Tillery,IDL,Colts,,UFA,36.20%,31,"$1,487,500 ","$937,500 "
Chukwuma Okorafor,RT,Jets,,UFA,0.00%,30,"$1,487,500 ","$1,100,000 "
Jamaree Salyer,RG,Dolphins,,UFA,39.30%,27,"$1,487,500 ","$187,500 "
Jason Sanders,K,Giants,,UFA,0.00%,32,"$1,487,500 ","$300,000 "
Dan Feeney,LG,Buccaneers,,UFA,58.80%,33,"$1,487,500 ","$1,000,000 "
J.J. Jansen,LS,Panthers,,UFA,28.60%,41,"$1,487,500 ","$1,262,500 "
Johnny Hekker,P,Vikings,,UFA,28.80%,37,"$1,487,500 ","$1,262,500 "
Lil'Jordan Humphrey,WR,Broncos,,UFA,28.70%,29,"$1,487,500 ","$87,500 "
Jon Weeks,LS,49ers,,UFA,29.20%,41,"$1,487,500 ","$1,212,500 "
Marquez Valdes-Scantling,WR,Cowboys,,UFA,31.80%,33,"$1,487,500 ","$187,500 "
Morgan Cox,LS,Titans,,UFA,28.20%,41,"$1,487,500 ","$1,262,500 "
Lucas Patrick,LG,Giants,,UFA,2.10%,34,"$1,487,500 ","$262,500 "
David Quessenberry,RT,Rams,,UFA,1.60%,37,"$1,487,500 ","$1,262,500 "
Chuck Clark,S,Lions,,UFA,37.50%,32,"$1,487,500 ","$50,000 "
Avonte Maddox,CB,Lions,,UFA,31.00%,31,"$1,487,500 ","$687,500 "
David Moore,WR,Panthers,,UFA,7.60%,32,"$1,487,500 ",$0 
Zane Gonzalez,K,Dolphins,,UFA,17.70%,32,"$1,487,500 ","$100,000 "
Austin Corbett,C,Bills,,UFA,63.40%,32,"$1,487,500 ","$1,262,500 "
Bradley Pinion,P,Dolphins,,UFA,39.80%,33,"$1,487,500 ","$1,262,500 "
Aaron Stinnie,LG,Giants,,UFA,5.20%,33,"$1,487,500 ","$62,500 "
Trenton Scott,RT,Commanders,,UFA,7.80%,33,"$1,487,500 ","$100,000 "
Jeremy McNichols,RB,Commanders,,UFA,32.00%,32,"$1,487,500 ","$562,500 "
Chris Manhertz,TE,Giants,,UFA,18.10%,35,"$1,487,500 ","$262,500 "
Laquon Treadwell,WR,Colts,,UFA,3.40%,32,"$1,487,500 ","$437,500 "
J.T. Gray,S,Eagles,,UFA,0.00%,31,"$1,487,500 ","$350,000 "
Derrick Nnadi,IDL,Colts,,UFA,29.60%,31,"$1,487,500 ","$537,500 "
Lonnie Johnson Jr.,S,Dolphins,,UFA,28.50%,32,"$1,487,500 ","$187,500 "
Casey Kreiter,LS,Cardinals,,UFA,26.90%,37,"$1,487,500 ","$1,262,500 "
Andrew Beck,TE,Jets,,UFA,10.50%,31,"$1,487,500 ","$1,262,500 "
Corey Levin,C,Falcons,,UFA,18.50%,33,"$1,485,000 ",$0 
Kentavius Street,EDGE,Bears,,UFA,19.60%,31,"$1,480,000 ","$100,000 "
Mitch Wishnowsky,P,Bills,,UFA,21.40%,35,"$1,475,000 ","$150,000 "
Starling Thomas V,CB,Cardinals,,UFA,0.00%,27,"$1,475,000 ","$325,000 "
Tyler Ott,LS,Commanders,,UFA,26.40%,35,"$1,463,333 ","$1,610,000 "
Brandon Allen,QB,Giants,,UFA,4.60%,35,"$1,450,000 ","$250,000 "
Matt Dickerson,IDL,Jaguars,,UFA,17.90%,32,"$1,450,000 ","$100,000 "
Deatrich Wise,EDGE,Commanders,,UFA,4.50%,33,"$1,450,000 ","$75,000 "
Tyler Steen,RT,Eagles,,UFA,95.70%,27,"$1,437,610 ","$1,182,136 "
Sydney Brown,S,Falcons,,UFA,22.10%,27,"$1,437,277 ","$1,181,168 "
Drew Sanders,LB,Broncos,,UFA,0.00%,27,"$1,433,683 ","$1,170,712 "
Lucas Krull,TE,Broncos,,UFA,4.60%,29,"$1,430,000 ","$100,000 "
Jaleel McLaughlin,RB,Broncos,,UFA,7.50%,27,"$1,430,000 ","$125,000 "
Tank Dell,WR,Texans,,UFA,0.00%,28,"$1,422,276 ","$1,137,528 "
Jermod McCoy,CB,Raiders,,ERFA,0.00%,,"$1,421,175 ",$0 
Byron Young,IDL,Eagles,,UFA,30.00%,27,"$1,417,178 ","$1,122,696 "
Luke Tenuta,LT,Colts,,UFA,2.60%,28,"$1,415,000 ","$300,000 "
Jack Cochrane,LB,Chiefs,,UFA,8.60%,28,"$1,415,000 ","$650,000 "
Jude Bowry,T,Bills,,ERFA,0.00%,,"$1,413,936 ",$0 
Kendre Miller,RB,Saints,,UFA,10.10%,25,"$1,413,578 ","$1,112,228 "
Darrell Jackson Jr.,IDL,Jets,,ERFA,0.00%,,"$1,412,905 ",$0 
Ahkello Witherspoon,CB,Commanders,,UFA,15.40%,32,"$1,412,500 ","$125,000 "
Kaleb Proctor,IDL,Cardinals,,ERFA,0.00%,,"$1,410,955 ",$0 
Garrett Williams,CB,Cardinals,,UFA,48.30%,26,"$1,408,733 ","$1,098,132 "
Brenen Thompson,WR,Chargers,,ERFA,0.00%,,"$1,408,034 ",$0 
Febechi Nwaiwu,G,Texans,,ERFA,0.00%,,"$1,406,346 ",$0 
Jalin Hyatt,WR,Giants,,UFA,14.90%,26,"$1,406,329 ","$1,091,140 "
Gracen Halton,IDL,49ers,,ERFA,0.00%,,"$1,405,206 ",$0 
Jonah Coleman,RB,Broncos,,ERFA,0.00%,,"$1,403,606 ",$0 
Cedric Tillman,WR,Browns,,UFA,47.60%,27,"$1,402,616 ","$1,080,336 "
Nick Westbrook-Ikhine,WR,Colts,,UFA,39.30%,30,"$1,402,500 ","$437,500 "
Matt Hennessy,C,Cowboys,,UFA,15.40%,30,"$1,402,500 ","$1,262,500 "
Lloyd Cushenberry,C,Bills,,UFA,87.30%,30,"$1,402,500 ","$1,262,500 "
Jonah Williams,IDL,Cardinals,,UFA,29.00%,32,"$1,402,500 ","$187,500 "
Terrell Burgess,S,Saints,,UFA,10.50%,29,"$1,402,500 ","$25,000 "
Rodney Thomas,CB,Seahawks,,UFA,12.90%,29,"$1,402,500 ","$187,500 "
Mykal Walker,LB,Jets,,UFA,17.20%,30,"$1,402,500 ","$187,500 "
Jack Driscoll,RT,Steelers,,UFA,0.00%,30,"$1,402,500 ","$187,500 "
Trevis Gipson,EDGE,Panthers,,UFA,22.90%,30,"$1,402,500 ","$598,800 "
Jonathan Owens,S,Colts,,UFA,4.40%,32,"$1,402,500 ","$187,500 "
Xavier Newman-Johnson,RG,Jets,,UFA,3.00%,28,"$1,402,500 ",$0 
Elijah Campbell,S,Giants,,UFA,2.50%,32,"$1,402,500 ","$50,000 "
Myles Bryant,CB,Browns,,UFA,33.00%,29,"$1,402,500 ","$517,500 "
Julius Chestnut,RB,Titans,,UFA,3.80%,27,"$1,402,500 ","$102,500 "
Darrell Baker Jr.,CB,Dolphins,,UFA,68.20%,29,"$1,402,500 ","$1,262,500 "
Geno Stone,S,Bills,,UFA,93.10%,28,"$1,402,500 ","$187,500 "
Kindle Vildor,CB,Patriots,,UFA,15.80%,30,"$1,402,500 ","$437,500 "
Anfernee Jennings,EDGE,Saints,,UFA,27.40%,30,"$1,402,500 ","$187,500 "
Akayleb Evans,CB,Panthers,,UFA,4.80%,28,"$1,402,500 ","$598,800 "
Riley Patterson,K,Dolphins,,UFA,32.90%,29,"$1,402,500 ",$0 
Greg Dortch,WR,Lions,,UFA,25.70%,29,"$1,402,500 ","$1,075,000 "
Eric Johnson,IDL,Vikings,,UFA,11.40%,29,"$1,402,500 ","$93,750 "
Jerome Ford,RB,Commanders,,UFA,24.80%,28,"$1,402,500 ","$437,500 "
Isaiah Simmons,LB,Panthers,,UFA,0.10%,29,"$1,402,500 ","$187,500 "
Zach Wilson,QB,Saints,,UFA,2.60%,28,"$1,402,500 ","$598,800 "
Gunner Olszewski,WR,Giants,,UFA,10.30%,31,"$1,402,500 ","$300,000 "
Charlie Heck,RT,Dolphins,,UFA,41.70%,31,"$1,402,500 ","$187,500 "
Zayne Anderson,S,Dolphins,,UFA,2.00%,30,"$1,402,500 ","$752,500 "
Daniel Faalele,RT,Giants,,UFA,99.60%,28,"$1,402,500 ","$687,500 "
Roger McCreary,CB,Lions,,UFA,32.20%,27,"$1,402,500 ","$987,500 "
Joe Tryon-Shoyinka,EDGE,Eagles,,UFA,13.20%,28,"$1,402,500 ","$662,500 "
David Ojabo,EDGE,Dolphins,,UFA,17.30%,27,"$1,402,500 ",$0 
Cam Taylor-Britt,CB,Colts,,UFA,32.00%,28,"$1,402,500 ","$687,500 "
Drake Jackson,EDGE,Commanders,,UFA,5.40%,26,"$1,402,500 ","$500,000 "
Jalen Tolbert,WR,Dolphins,,UFA,39.10%,28,"$1,402,500 ","$1,262,500 "
Azeez Ojulari,EDGE,Falcons,,UFA,6.00%,27,"$1,402,500 ","$387,500 "
James Hudson,RT,Patriots,,UFA,7.40%,28,"$1,402,500 ","$537,500 "
Tutu Atwell,WR,Dolphins,,UFA,16.50%,28,"$1,402,500 ","$1,075,000 "
Adam Prentice,FB,Broncos,,UFA,18.50%,30,"$1,402,500 ","$587,500 "
Damone Clark,LB,Lions,,UFA,9.30%,27,"$1,402,500 ","$75,000 "
Simi Fehoko,WR,Cardinals,,UFA,3.30%,30,"$1,402,500 ","$1,262,500 "
K.J. Britt,LB,Patriots,,UFA,14.80%,28,"$1,402,500 ","$687,500 "
Van Jefferson,WR,Commanders,,UFA,55.20%,31,"$1,402,500 ","$527,500 "
Jason Pinnock,S,Giants,,UFA,45.50%,28,"$1,402,500 ","$200,000 "
A.J. Dillon,RB,Panthers,,UFA,4.70%,29,"$1,402,500 ","$100,000 "
Kyle Dugger,S,Bengals,,UFA,66.00%,31,"$1,402,500 ","$75,000 "
"Willie Gay, Jr.",LB,Dolphins,,UFA,13.10%,29,"$1,402,500 ","$687,500 "
Justin Skule,LT,Buccaneers,,UFA,57.70%,31,"$1,402,500 ","$500,000 "
Tylan Wallace,WR,Browns,,UFA,18.20%,28,"$1,402,500 ","$125,000 "
Kylen Granson,TE,Titans,,UFA,23.10%,29,"$1,402,500 ","$625,000 "
Olisaemeka Udoh,LT,Cardinals,,UFA,32.30%,30,"$1,402,500 ","$350,000 "
Joshua Uche,EDGE,Dolphins,,UFA,21.70%,29,"$1,402,500 ","$1,262,500 "
Jadon Canady,CB,Chiefs,,ERFA,0.00%,,"$1,401,833 ",$0 
Shy Tuttle,IDL,Commanders,,UFA,16.50%,32,"$1,400,000 ","$50,000 "
Ronnie Harrison,S,Dolphins,,UFA,25.10%,30,"$1,400,000 ",$0 
Chazz Surratt,LB,Seahawks,,UFA,0.60%,30,"$1,400,000 ","$350,000 "
Michael Burton,FB,Browns,,UFA,0.00%,35,"$1,400,000 ","$60,000 "
Cade Klubnik,QB,Jets,,ERFA,0.00%,,"$1,399,669 ",$0 
Kage Casey,G,Broncos,,ERFA,0.00%,,"$1,394,552 ",$0 
Cameron Sample,EDGE,49ers,,UFA,21.50%,28,"$1,393,500 ","$225,000 "
Jalen Farmer,G,Colts,,ERFA,0.00%,,"$1,392,676 ",$0 
Zach Harrison,EDGE,Falcons,,UFA,21.70%,26,"$1,392,112 ","$1,049,780 "
Marte Mapu,LB,Texans,,UFA,11.70%,28,"$1,390,927 ","$1,046,332 "
Byron Young,EDGE,Rams,,UFA,76.10%,29,"$1,388,810 ","$1,040,172 "
Keionte Scott,CB,Buccaneers,,ERFA,0.00%,,"$1,387,164 ",$0 
Travis Burke,T,Chargers,,ERFA,0.00%,,"$1,385,968 ",$0 
D'Anthony Bell,S,Seahawks,,UFA,8.50%,31,"$1,385,000 ","$125,000 "
Tucker Kraft,TE,Packers,,UFA,41.80%,27,"$1,384,483 ","$1,027,588 "
Jimmy Rolder,LB,Lions,,ERFA,0.00%,,"$1,383,240 ",$0 
Wesley Williams,EDGE,Jaguars,,ERFA,0.00%,,"$1,380,380 ",$0 
Josh Downs,WR,Colts,,UFA,55.40%,26,"$1,380,114 ","$1,014,876 "
Kaden Wetjen,WR,Steelers,,ERFA,0.00%,,"$1,376,729 ",$0 
Mecole Hardman,WR,Bills,,UFA,0.40%,29,"$1,375,000 ",$0 
Tyjae Spears,RB,Titans,,UFA,35.40%,26,"$1,372,651 ","$993,164 "
Wade Woodaz,LB,Texans,,ERFA,0.00%,,"$1,370,695 ",$0 
Malik Muhammad,CB,Bears,,ERFA,0.00%,,"$1,370,695 ",$0 
Skyler Bell,WR,Bills,,ERFA,0.00%,,"$1,367,941 ",$0 
YaYa Diaby,EDGE,Buccaneers,,UFA,75.00%,28,"$1,366,353 ","$974,844 "
Kaleb Elarms-Orr,LB,Bills,,ERFA,0.00%,,"$1,365,740 ",$0 
Mohamoud Diabate,LB,Titans,,UFA,28.20%,26,"$1,363,000 ","$350,000 "
Carver Willis,T,49ers,,ERFA,0.00%,,"$1,362,498 ",$0 
Riley Moss,CB,Broncos,,UFA,96.90%,27,"$1,361,873 ","$961,812 "
Connor Lew,C,Bengals,,ERFA,0.00%,,"$1,361,089 ",$0 
Devon Achane,RB,Dolphins,,Void,70.90%,26,"$1,359,363 ","$954,508 "
Will Lee III,CB,Panthers,,ERFA,0.00%,,"$1,357,858 ",$0 
Trey Moore,EDGE,Dolphins,,ERFA,0.00%,,"$1,355,592 ",$0 
Daiyan Henley,LB,Chargers,,UFA,91.40%,28,"$1,355,107 ","$942,128 "
Genesis Smith,S,Chargers,,ERFA,0.00%,,"$1,351,922 ",$0 
Trenton Simpson,LB,Ravens,,UFA,35.90%,26,"$1,351,126 ","$930,548 "
Mike Caliendo,LG,Chiefs,,UFA,37.90%,30,"$1,350,000 ","$650,000 "
Trevor Nowaske,LB,Lions,,UFA,6.70%,29,"$1,350,000 ","$550,000 "
Tanner Hudson,TE,Bengals,,UFA,13.30%,33,"$1,350,000 ","$50,000 "
Ji'Ayir Brown,S,49ers,,UFA,73.80%,27,"$1,348,951 ","$924,220 "
Tank Bigsby,RB,Eagles,,UFA,13.10%,25,"$1,348,230 ","$922,120 "
Jeremiah Wright,G,Saints,,ERFA,0.00%,,"$1,348,087 ",$0 
Kobie Turner,IDL,Rams,,UFA,66.80%,28,"$1,347,868 ","$921,068 "
DeMarvion Overshown,LB,Cowboys,,UFA,19.70%,27,"$1,347,506 ","$920,016 "
Dorian Williams,LB,Bills,,UFA,44.20%,26,"$1,345,702 ","$914,768 "
Wanya Morris,LT,Chiefs,,UFA,5.90%,27,"$1,342,088 ","$904,256 "
Cameron Goode,EDGE,Dolphins,,UFA,11.10%,29,"$1,340,000 ","$50,000 "
Darnell Washington,TE,Steelers,,UFA,53.00%,26,"$1,338,478 ","$893,752 "
Michael Wilson,WR,Cardinals,,UFA,81.30%,27,"$1,334,866 ","$883,244 "
Ben Sims,TE,Dolphins,,UFA,8.40%,27,"$1,332,500 ","$187,500 "
